Usuario,Seguidores,Seguidos,nroTweets,nroReTweets
PartigianoRosso,114,145,0,1
tonibernabeu123,5000,944,1,0
silcampos04,687,1325,0,2
AngelCanoGarcia,201,224,0,2
SolCasas10,197,199,0,2
AlCaceresMon,513,1391,1,1
Villa3Edith,415,458,0,1
josereymt,613,711,0,1
MelisaChavez86,222,530,0,1
CubilloLeticia,75,177,0,5
oblatasmurcia,47,71,0,1
mprp37k,49,77,0,1
DiarioExpres,520,4942,0,1
shareu20,168,316,0,1
luzmarinaverg12,13,5,0,2
licfuentesnata1,141,103,0,1
ilde,3408,2548,0,2
eskubi,1137,963,0,1
neokore,243,209,0,1
dianitalop,1361,467,0,1
zelfstudie,11859,9997,0,2
SindicatoVP,1027,118,0,1
maculadamarga,6,30,0,1
FRubioTorgler,3664,4454,2,7
palmadelrio_es,2089,65,0,1
isaperezdobarro,652,510,0,2
diegoarielvega,1407,1589,0,1
SULOGPERUSAC,112,603,1,0
miguelrcabanas,7429,355,0,2
Colliaalejandro,1191,359,2,1
MaiPeinetti,28,101,0,1
MargaraObregon,158,216,0,1
Proyecto860,429,1850,0,1
AzjjoBin4vg3Qla,265,329,0,1
luis_garzon_r,77,1486,0,4
Clearfuel,65,115,0,3
JuanParboleda,1043,756,0,2
gastonbergoglio,767,732,0,1
Discap2017,194,388,0,5
ferchoeducando,799,589,0,2
MaribelLSB_USO,66,83,0,1
empresariosconF,215,1431,0,1
usuariosdeinter,343,99,0,1
CentralASI,2344,2424,0,13
andergayamor,1098,2946,0,1
AmeliaNavarroA,966,1085,0,1
CJovenAlovera,588,369,1,0
MoyaRiu,250,1593,0,4
joseba770,52,282,0,2
AnaRodriguezGi,440,252,0,1
raquelea,1211,1066,2,3
williamrg11,39,117,0,2
gonz_zapater,282,261,0,1
imolina,1372,891,0,1
DESEM_Uruguay,4405,3659,1,0
MiculturaRD,73251,13964,0,1
ponce_nuria,323,464,1,1
Biotech_Spain,2792,3679,1,0
UEValencia,2277,979,3,0
Pamegtz17,318,942,0,1
BennyFOTOS,4463,1993,0,1
GabrielaUriarte,1105,487,0,1
conseyu_cmpa,1422,1163,0,1
ManyvanF,34,184,0,1
Natalia01590450,135,370,1,1
EmiCassani,42,213,0,3
fnovaterra,1462,1040,0,1
ALCORTA64,1969,3904,0,1
Spincerv,138,429,0,1
jmourelos,171,413,0,1
MilagrosMndez6,30,60,0,1
ToyaAlcarria,162,204,0,3
AsprodesSalaman,2807,701,1,0
MiguelOyaga,349,585,0,1
mjbautistac,306,374,2,0
nurimolo,15,32,0,1
IsraelLozoyaM,49,127,2,0
cynthiamlg,866,1165,0,1
javierreraul,14,82,0,1
JrlpSILVA,507,849,0,1
ConsorciZF,796,617,12,0
danielpacheco,35139,1857,0,1
mbarreralyx,2609,1256,1,0
Lamantonioo,74,74,0,1
elsamexoficial,658,1543,0,3
IsabelAlt,58,486,0,1
ismael_novo,768,434,0,1
Centro_Regional,971,415,2,0
TechnovationMur,201,468,1,2
RadioLabUGR,667,496,1,0
Ignacio_CKIC,186,471,0,1
mirenamaiaiguar,315,412,0,1
VicBravoWeb,1509,2356,0,1
jordirenardfont,117,343,0,1
TetillasLarue8,720,288,0,1
VRI_UN,20763,7440,1,2
PRONACOMGT,5353,592,1,0
EstiRodGonz,30,135,0,1
Miquel_R_C,90,84,0,2
mariosandi,404,816,0,1
robacoso,169,620,0,1
EcapmaUnad,36,115,0,1
CRLfab,186,345,0,1
LauCVEM,2471,947,0,2
Habanaviva,1451,1689,1,0
carlosfonzeca,7859,5543,0,8
MarVolpioficial,776,1882,0,1
Zipitilo2,42,118,0,1
gusguime,246,458,0,1
CSGirlTweets,60,1,0,1
CCBiblio,4281,1835,6,5
ffrm_es,46401,579,0,1
MaisguerAlva,11,7,0,1
anaileile,145,601,1,0
Consejo_HCP,252,212,1,0
social3c,1328,1476,0,5
I_MpozosAguaSub,211,1823,0,5
FerMontiel11,62,121,0,1
COAMSS_OPAMSS,1457,1107,1,1
IvaniaAven,55,301,0,1
MSalesianas,15647,2839,2,0
simonaricci,382,526,0,1
jsegura17,447,364,0,1
CSCAE,18694,742,0,1
Familia_SUPER,397,654,0,3
GSGilwell328,162,578,0,2
librolecturagob,1267,104,0,1
johnk_2012,2,16,0,1
jgmarin1,182,369,0,1
JGR36308916,6,95,0,1
impact2030,3503,1745,0,2
MuroFabian,827,877,0,1
mcarvajal28,236375,455,0,3
smarterrassa,1010,694,1,0
beca25240,339,253,0,1
TerraTours507,18,94,0,1
cicat_cl,10360,7747,1,1
VinicioCerezo,9275,394,0,1
mfrodriguezssaj,1093,126,0,1
Adolfokant,4,47,0,1
EfranSanMe,3622,5001,0,1
fccozumel,707,533,3,0
luisig,542,1969,0,1
ortizsuano,191,407,0,1
sanandoheridas,133,94,1,0
aepftehuacansu1,59,363,0,1
EuropeDirectMur,2264,1431,3,0
PedroTorres,523,724,0,1
p_ArtisTICs,209,139,1,0
CRJCyL,1115,232,1,0
RespSolidarias,449,1248,6,6
Merce_G,4261,2834,0,1
pao_rodriguezlp,38,185,0,1
jhon_anibal,22,76,0,1
isagro_es,223,303,1,0
OmarYzet,206,113,0,1
BonafontMexico,26924,2241,0,1
Enrique62175188,12,36,0,1
laborancagua,133,87,0,1
svalvarez,319,534,0,1
gabitaintorres,174,433,0,1
mldoce,2629,2974,0,8
Umyousi05962863,124,88,0,1
alquite_etl,774,582,0,1
maggie07060,307,311,2,0
AnaRaquelSaez,1235,671,0,1
ColmenaQdiceSi,1976,787,0,2
colegio_alameda,3809,845,0,1
GanekoLab,235,1130,0,1
bbva,103270,103,5,0
PrensaNazario,934,107,1,0
gabyhg677,115,1248,0,1
dmebueyarriba,41,38,0,1
onda_sevilla,2783,1101,0,1
SwedeninGT,5781,345,1,0
AddysThen,1800,913,1,0
corphumanas,24901,1480,1,0
SERNEGROESRICO,79,524,0,1
PATNavalmoralM,225,206,2,0
ojaicos74,207,284,0,1
aacstuit,574,499,0,1
OPEA1,1318,1033,0,2
Lerapea,820,405,0,2
OhYeahEDU,396,1,0,1
mariaandrea_u,1091,2469,0,1
Not00Found,210,624,0,1
Mohamed61243943,5,2,0,1
Luis_Fierro_Eco,1785,5000,0,1
AlonsoRiveraM,362,200,2,2
JuanJoseSauced9,90,47,0,1
Maria30951072,3,7,2,1
LourdesMcpher,607,1661,1,0
JuanAntonio_RR,569,2521,0,1
dianii_nava,272,1203,0,3
PenelopeCHG,1274,920,1,0
victorfalguera,2680,2671,0,1
HuellaChile_MMA,356,251,0,1
medicusmundinam,3105,1315,1,0
fermartinh,17,42,0,1
palomamina,2165,2108,0,3
RussafaCxV,502,299,0,1
Erikaatierra,965,918,0,1
PatatasLZR,86,277,1,0
RedAbogacia,21706,423,0,2
derechoaleer,1975,674,0,1
AleixNoguera_,84,595,0,5
Yorsuha,672,761,0,4
SalutiTreball,1457,910,0,4
CCTHADER,10629,3745,0,1
madridsmartcity,4684,1286,0,1
rmmr02,381,80,0,1
fakiajedrez,120,514,0,1
jorgeaguileraes,1781,1570,0,1
residuo_cero,61,116,0,1
ALFAEMLeon,772,1031,0,1
LigaIberoamOSC,43,230,0,1
GraneroGustavo,242,844,0,2
fepesp_org,25,105,0,1
IGNACIOPERNIL,486,2290,0,1
jovenescoop_ext,377,118,0,1
faltaderespeto,5270,3260,0,1
marangunic,1179,1123,1,0
AcnuUnaCuba,1964,979,0,1
danibomber1059,174,166,0,1
CNCCMDLRD,326,225,1,0
AdaLab_Digital,3522,1159,0,1
_azulrey,487,664,1,0
TISpain,3628,982,0,1
NanMarDu,338,930,0,1
maferparodi,727,1485,1,0
davidalba21,973,2580,0,3
pepebareaarco,3945,2847,0,1
JevyMerol,51,173,0,1
oscarfortiz,520,634,1,0
MilaGaldamez,41,143,0,1
PNUDPARAGUAY,1888,1555,3,2
mjruiz4,49,34,0,1
carmen171258,53,36,0,1
marsebu,4342,658,1,0
cotydreams,819,184,0,1
Bgtaenlainmunda,124,85,0,2
LeivaLorente,121,169,0,1
palacincristina,1109,1827,0,1
amaliasalgado,301,249,0,1
NBSOBCN,837,878,0,1
AgriConstanza,1272,4958,0,1
INAMujeres,11355,448,1,0
marianromiti,754,297,0,2
esferacapital,3550,1719,0,2
neicis,924,779,0,2
onumujeresEcu,9064,216,1,0
CDOverde,1937,1400,1,1
lazarotouza,589,435,0,1
chemplastexpo,768,774,2,3
FBaddache,13682,1612,0,1
FPHColombia,104,68,0,3
pactoglobalpy,905,154,5,0
FAOenEspanol,18078,766,1,0
dacil_Leon,8,16,0,1
Miriam_R_R,232,547,0,1
nccpueblac,530,399,1,0
jathibaut,2675,1103,0,1
kodriozola,386,544,0,1
perogar_BIM,207,258,2,9
raulsl2,84,459,0,1
JavSaldana,32055,9616,0,3
IzAb_Bierzo,299,270,1,0
GreenthemTBYC,185,839,0,1
CanalFONCE_UNED,597,85,0,3
RAFAJARDO,880,2751,0,2
sumicatatumbo,813,1379,0,1
DelianFeo,1476,850,0,1
mtehi,99,206,0,1
MoniscitaNava,66,219,0,1
mjoliverar,33,391,0,1
coopescuelaideo,404,248,0,5
Katta_Duran,95,234,0,1
ChinitoCejon,35,49,0,1
YdalithKad,1242,4610,0,1
Alexand65054284,34,440,0,1
albagr10,311,461,0,1
EvaTorr47728685,14,51,0,1
CancilleriaPma,60205,1006,0,3
VictoriaSeiasa,216,209,3,0
jesslima_de,21,34,0,2
pere_navarro,22817,3403,0,3
dyaalertas,9583,1270,1,0
RafaPazHdez,148,798,0,10
viviana_simone,820,460,0,2
ingLaura17,490,1621,0,6
jesusm2,310,333,0,2
EmilioD30815372,11,158,0,1
fbuyolo,7158,6339,0,31
ValetaRamon,2,23,0,1
JJesusAlvarez2,21,93,0,1
RamiroFeijoo,496,429,0,1
jvalencia1946,6,196,0,1
PedroJ_Cuestas,10920,3952,1,3
andresmezquida,234,196,0,1
icoleon,13,47,0,1
Biotropia,934,1384,0,2
ConueeInt,1053,350,0,1
AM550LaPrimera,9483,332,0,1
PaisajeRurales,1195,865,0,1
yohancpeda,215,188,0,1
maiteseo,273,261,1,0
CNBMex,624,181,0,2
CMNUCC,52535,400,1,0
ConRecutecutv,285,474,0,1
elreparaz,1091,450,3,3
GeraliRM,866,872,2,1
eTwinnico,862,711,0,1
lidia3068,13,21,0,1
agaguigar,663,1356,0,1
IArgonauta,13,12,0,1
oyenteocasional,14,90,0,1
Donmanny16,451,1123,0,1
ElsaCondeR,1653,1153,0,1
MGalardon,197,294,2,0
jalceid,238,375,0,1
Andesco1,6255,455,2,0
ahfdigital,605,598,0,1
ajmarhernandez,182,279,2,0
GenuineSpain,70,296,0,1
MJMedialdea,229,415,0,1
OdaidPanama,220,456,0,1
Consultores_Co,290,741,1,0
rmjuarezrojas,53,79,0,1
VicentVG,3136,3271,0,3
juancristobalrv,1409,1299,0,7
Isabelsm3,3693,2203,0,2
eva_last_one,40,180,0,1
crecyl,5134,1729,0,2
barriobenavente,988,1644,0,2
_Alvarolama,83,213,0,1
PsdeDiversidad,1576,296,1,0
jerusalenyadi,860,2990,0,1
bearmenteros,947,957,0,1
ComPlanetaAzul,1033,702,0,1
LauLbe,197,903,0,1
mjolesti,258,203,0,1
Mejia_15_,84,548,0,2
FCIDEMAR,626,657,2,0
alejitabece,95,121,0,1
apradilla,1659,1274,2,7
CarlosPC_Mx,1118,745,0,1
DCibt,50,116,1,0
CEEDUnesr,194,80,0,1
minasenergiaupm,4393,4999,0,2
obellettini,874,399,0,1
MdMIllesBalears,934,755,1,0
agua_ambiente,446,1853,3,5
walkerjordifont,232,523,0,1
AmbientalUEB,500,119,1,0
MiguelSaltosO,229,156,0,1
jcarlostm1,1088,1294,0,2
VoluntariadoPAV,523,189,0,1
NoeliaRomeroLR,426,3387,0,1
UATAEAndalucia,826,809,1,0
carina_sampa,969,991,0,1
jlchsr,991,2918,0,1
avvelasquez,1970,1653,0,2
rmcoopera,102,221,3,1
juanlayda,952,1902,0,4
aguilarseco,311,472,0,1
jtintoreocean,855,735,1,0
ClusterDeSonora,1329,1071,0,1
Alonso_Borjon07,4,62,0,1
fdiazmad,432,691,0,1
CruzRojaVLC,1461,500,1,0
HumbertoJQuint2,111,347,0,1
filarramendi,491,348,0,1
rutenca,5464,4413,4,6
Area2Cartagena,1770,280,0,1
UNESCOsanjose,610,396,1,1
Cemdes,2487,419,2,0
gv2024,505,784,0,2
alejandrogz11,222,225,0,1
DanielLanda,84,379,0,1
relpub,946,2435,0,1
BECKORT,31,754,0,1
SVS_Sitges,512,450,0,1
MarioHerBe87,203,425,0,1
marianalg_09,96,564,0,1
nachotor,320,376,0,1
TArmenteras,36,42,0,3
jmcastrob,452,1240,0,2
DanielHoracioR6,14,109,0,1
emartinezbravo,2327,1146,0,1
KoOkAoKi,13,178,0,1
BrainaOmar,106,186,0,2
orainprevencion,329,73,0,1
FNAmbiental,41034,1338,4,7
terecardenasf67,10,91,0,1
renovacionverde,13949,5592,1,0
DpE00A3ngwQzjmj,107,180,0,1
yo_el_roni,377,594,0,1
freireca,2651,1870,0,1
PNUD_Venezuela,3405,378,30,0
whertusky,290,454,0,1
JALopezRomero,46,224,0,1
CAICongresoCdMx,173,446,2,0
MBelenPR,437,523,0,1
javierMbrocal,11300,2911,0,1
fmprogresistas,13326,1052,0,2
Aleacostaj,710,279,0,1
secuoya35,105,60,0,1
medicusmundi,5803,1014,0,2
FKiskeia,73,360,1,0
BigDataCol,4437,4996,1,8
Eliepsico,33,70,0,1
hsarayg,1051,1407,0,1
EquoLaZubia,54,119,0,1
AlmaMara10,34,92,0,1
ane_epalza,124,40,0,1
apedrozoacuna,1139,1023,4,0
StartAndScale,68,243,0,2
AlbertoDide,397,648,0,2
claulore29,1251,2699,0,2
Pacienciapulido,253,933,0,1
rizzo_paula,458,1222,1,0
Epson_ES,6243,3274,1,0
Hab_Sostenible,96,221,1,2
David_Camps,748,2251,0,1
miguelangelc198,73,175,0,1
anagimenezanton,594,898,0,1
AljanabiRuyda,196,366,0,1
BwCSConsulting,34,128,0,1
GeekAMX,1585,4104,0,2
AReforesta,2089,2239,0,1
inccrea7,24,84,1,2
MediaLabUGR,3126,1006,0,4
KarenAndreaVega,82,177,0,3
Biblio_Social,4067,1569,2,3
mmilkypink,341,171,0,1
javierfrancofer,2078,808,0,1
Catalina2002,288,461,0,1
visionpolitica7,17514,1482,2,0
supercontra,1890,1695,0,1
GrupoICA,417,442,1,0
IRSLaRioja,866,805,1,2
SalvadorSolrza3,12,357,0,1
Cope_Ct,3999,1607,0,1
cesar4380,139,191,0,1
florit_carmen,19,78,0,1
bogotech,9993,295,0,1
unizar,20229,440,2,6
MiguelAVelazqu7,42,101,0,1
edisonamericanc,772,1002,1,0
AgoraBienestar,1275,955,0,1
Jess_Tank,2096,1229,0,1
Laksman_Sumano,3595,3295,0,1
QuiqueGodoy,51660,3573,0,1
gdehoyoswalther,34482,2642,0,1
NAlejandraSoto,555,708,0,1
m0rrina,1256,1394,0,1
innovaccion3601,11,34,0,1
CesarBayliss,145,423,0,2
eUXOGTK9yNuRJfd,177,248,0,1
Ireblanche,145,121,0,1
eticabilidad,24,48,1,0
mcvmondragon,53,171,0,1
sergio1961S,246,792,0,1
Marcela_Carasco,346,1188,0,1
bilintx,701,1381,0,1
mcgalindo2003,105,514,0,1
LuciaRuiz2016,7,69,0,1
Janss014,552,5002,0,1
Red_EsAgua,1711,982,0,1
CarrillonavasG,14303,13675,0,1
EDMIRYA,410,1909,0,5
elbakirby,186,503,0,3
creerespoder2,144,332,0,1
CeUICN,2878,231,0,1
Senniaf,8002,804,3,0
sanchez_sonia,63555,1760,1,0
rafaela_romero,3597,1104,0,1
RaquelOrtizL,146,292,0,1
swanwsolutions,112,386,1,0
Ascenxi,288,174,0,2
Ceapat,9475,588,2,0
jmonterreal,274,932,0,1
AlbertoCasado8,718,1225,1,1
David_he032,10,39,0,1
AntonioSuarezC,192,123,0,3
MunozAnabelen,229,169,0,2
canomilag,446,502,0,1
Laboratoriorg,147,530,9,4
Swacherry,88,250,0,1
jrepiso,130,203,1,1
PalmaActiva,12902,1099,0,1
GloriaToloza,9,44,0,1
Lopez_Carvajal,841,651,0,1
SilGardia,364,769,1,0
esmayora,442,659,0,1
mfespinosaEC,163908,29,0,1
Tziry_,798,836,2,0
IQ_Ednita,245,611,0,1
ALEJOMURILLO15,6,46,0,1
Rodrigo_Perez83,2838,995,0,1
NataliaAc09,219,260,0,1
blazquezsara,855,694,1,0
AbdielAntonio,3663,1135,0,3
UNICEFColombia,61987,2181,0,2
EgobGuate,356,425,0,1
halseth_jan,9,71,0,1
TECHOmx,12297,2099,0,1
patri_veras,13,61,0,1
olivares_alb,55,246,0,1
atherk,832,1729,0,1
Celeste_Box,4907,3170,1,0
Maffersol1,2,3,0,1
FabryCromeyer,133,208,0,1
UCR_12_Secc,433,454,0,3
greenpeace_esp,654960,289733,0,1
FundacionMainel,1060,1446,0,1
GabrielBotell20,82,457,0,1
Auroraperezmarq,22,43,0,1
q2q0IXhD7SkhKqF,128,175,0,1
Angel_M_Sanchez,2381,2261,0,1
SabinJoaquina,136,105,0,2
DaniPatinoCCOO,456,237,1,1
ptouris,480,427,0,1
Reciaria,1016,116,3,62
jjferrer_aqua,197,186,0,1
Ilopeztriana,717,369,0,1
Estress4,292,599,0,2
CirculoPA,222,330,0,1
MkDigitalCo,421,355,0,1
BCNArgentina,5022,887,65,0
dayseomurcia,326,171,0,1
EducacioElxPSOE,193,1034,0,1
fraholiver,141,301,1,2
Guishermikz,159,381,0,1
SoyCibelino,2548,4010,2,6
alarcobe,159,993,0,2
juanc14109,44,433,0,1
ammonitesmd,1878,4490,0,1
cruzcorba,641,1018,0,1
PorOtraPAC,1040,404,0,1
DaniArago,943,984,1,0
aigueshorta,1105,841,1,0
TCiudadana_UPV,983,742,0,1
mariselafont,291,392,0,1
BlueKamille,124,54,0,1
UN_innova,6477,1214,0,1
BlancaMiedes,772,2476,0,1
asturmarian,128,390,0,1
Grupo_Envera_,2322,1038,2,0
Kayaye20,58,44,0,1
mbmedinas,178,359,0,1
ComunicaValor,362,753,0,3
juanluiscano,75519,1005,0,7
Sedesoh_IS,476,175,3,2
gorkamac,66,556,0,1
jordi_a,34594,4779,0,1
VanesaCR,1556,1532,0,1
sedopticamof,211,585,0,1
CSICmasI,613,240,0,1
LautaMercado94,120,136,0,2
Stivenpardo98,37,319,0,2
AsocCantal,321,309,0,1
arroyoquero,1980,3177,1,4
IntegralMediaSL,1055,387,0,1
Telefonica_Col,8679,608,2,0
teiknasocial,184,874,1,0
isramateslosada,460,483,0,1
SilviaMorimoto,1981,1161,1,8
GRISCARMENGRIS,543,1522,0,1
ODSColombia,342,297,3,0
videla127,496,2184,0,2
CEDEOJAIR,51,380,0,1
Eugenia_Aq,1228,981,2,1
PoletikaORG,13176,2087,0,1
anadovalfraiz,305,335,0,1
SandhyaKapoor10,38,97,0,1
katia_dbm,233,1597,0,1
OmNoor28774754,180,103,0,1
JFoglia,723,765,0,2
BNUruguay,2917,220,0,1
ivanocarreno,660,1531,0,1
eduardoleslie57,1042,1024,0,2
AldeasEspana,10166,766,9,1
ryg5IDLQSgxQGLO,232,266,0,1
Juventudes_MC,40,179,0,1
blackhawkPPT,357,1399,0,2
CLARAISABELGAR4,2456,5001,0,1
arabadiav,51,95,0,3
camilolopez25,466,1278,0,1
sergiorengifo,979,225,0,4
Andys_US,133,253,0,1
CristiHerranz,228,318,1,0
verdejomar,5339,4357,1,0
LuciodelaCruzP,347,370,0,2
infoagamed,1387,1077,1,0
GrupoZambudio,419,149,1,0
SergioMautone,1921,917,0,2
ciberyolanda,3103,1366,12,13
FiscalTrans,7163,855,1,2
crocvictorcanc1,69,166,0,2
AlejandPayan,48,47,0,1
AMIQGreenChem,806,288,2,5
anambarreira,879,1176,1,0
meliSaMantovani,425,814,0,1
anamaria0420,27,266,0,1
donjuanborbon,337,541,1,0
RosasFrias,68,240,0,1
PMORAG71,21,141,0,1
SalfordC,635,926,1,0
SerchL83,45,390,0,1
Abdulqa87813485,207,251,0,1
mariabetancur9,660,483,0,1
VENCEDOR4EVER,148,332,1,0
MValenciaBetran,1075,1072,0,1
pepesteba,339,954,0,1
ArteagaMireya,900,671,0,2
eformedia,1298,1216,0,1
OngIsabelMartin,383,631,2,0
jjalmela,1927,902,0,3
EmBoliviaCuba,2922,2876,0,1
ombudsmanorgmx,1124,488,1,1
dagiraldovyv,1954,4190,0,1
martaroldan,1336,671,0,1
Pilaralonsogago,42,139,0,1
7g9NsdllofzBQ1Q,1,677,0,1
Rosmendez_,166,61,0,2
komunicadora,386,1400,0,1
EmbEspHungria,1995,349,0,1
iesalbalat,111,137,0,1
noticiesdigital,2271,2255,0,1
VillaSanJosePal,149,475,1,0
NATSAL21,1382,1423,1,0
VinculamosCl,9,73,1,0
nandaconta_fer,608,1939,0,2
CLRR_DUA,596,1843,0,1
charliemelara,471,255,0,1
romashente,492,794,0,1
fabianmazzanti,182,98,0,1
MareikeEberz,1097,2280,1,1
mariaralbornoz,41,369,0,1
VivesZoila,6559,5588,0,1
forohatillano,495,489,1,0
javiervarela,4939,1078,1,0
AMIQinnova,685,147,1,2
INTECOcr,1514,412,2,0
INABIO_EC,2505,733,1,0
gabrieljlp,86,207,0,1
JUANVIALPARRA,1294,2097,0,1
rubenolallas,1198,998,0,1
dalia_correa,2148,1462,1,0
1964RHOrtiz,157,1714,0,1
mochileramexica,481,2026,0,1
UNFPA_Ve,3800,1341,1,0
UAM_Economicas,775,286,0,1
RamonRarmada,214,231,0,1
mariajpico,3465,1974,0,1
ONGDSED,4151,1348,3,0
MLKSocialMedia,1730,2489,0,1
PedrazaVlad,417,3617,0,1
CarmenMolina_Q,2259,1673,0,1
miracoli77,41,424,0,1
ManuelDreamer,666,284,1,0
dimaparo,1049,920,0,1
almugarle,232,280,0,1
OIenMurcia,1334,1478,0,1
psoeabaran,800,1245,0,1
OscarRecioColl,8304,5456,0,1
alexiaeco_TI,443,605,0,1
manriquearduz,9,20,0,1
ElsaGiordano3,33,32,0,1
G0m33026762,6,58,0,1
Vi_Simon,1248,2227,0,25
mirizq73,1638,1057,0,2
adeupv,584,223,0,1
jurlaceramica,535,226,0,1
xescmiralles,3147,3466,0,1
angel2cabrera,3446,942,1,0
Jo_Peluffo,597,2185,0,2
Isabelgranero2,35,38,0,2
IBSTT,1668,4685,0,1
gildardoabogado,257,185,0,1
mercedeslopezr7,317,266,0,1
MeCollell,190,347,0,1
reds_sdsn,3470,964,4,3
silviacrosa1,47,87,0,1
UOCuniversidad,32275,2156,5,0
APBiblioBurgos,308,135,0,1
CiroProject,10,39,0,2
miosotisr,2143,2081,1,0
monpanzar,181,429,0,1
FeIipe_Castro,4263,2006,0,1
ElenaPintor,700,697,0,7
ladriyoo,87,46,0,1
ArcherSierra,2239,645,0,1
isolagua,133,567,1,0
SManueco,280,665,0,2
GloriaGubianas,345,160,0,1
estrellanunez16,1020,2238,0,1
juguetes_dra,193,361,0,1
juliadom1,172,445,0,1
GonzalezSamos,31,153,0,1
YellowskyEnergy,42,156,0,1
ColliEvangelina,343,231,2,3
libelium,9067,590,1,0
ingennus,620,389,0,1
pbenaventeg,23765,988,0,1
DAVIDCACERESD,1615,2011,0,1
alfa3escolar,141,891,0,1
EmbaMexNL,1496,528,0,1
lospajaricos,1141,2116,1,0
ManuelaCorreaAl,623,100,1,0
TRENCADISOPOSI1,7,56,0,1
petruxIT,1443,144,0,1
GobOax,135577,6765,0,2
Zurita100,29,14,0,1
Llevalo_es,9504,9027,0,1
JdelosNietos,407,265,0,2
NicksNames,558,3330,0,1
crincon1976,41,87,0,1
libelula_group,3208,4497,0,4
syanguas,2073,2039,0,1
MARTAGR82,2228,1168,0,2
CajaIngenieros,13841,11715,2,0
emmapb13,570,821,0,1
IPHEinclusivo,1581,276,0,2
asociacionbibli,3229,3059,0,5
SandraVeracruz,421,1087,0,3
imartintrujillo,14,41,0,1
IAPSERoficial,575,363,2,0
Coiba1,3404,1491,1,0
filorug,171,251,1,1
danielroru,101,983,0,1
CambioClimChaco,737,195,2,0
EsperanzaFitz,778,2950,0,1
luis87c,111,356,0,1
Enysm,262,437,0,1
nusferatuzodd,632,2040,0,1
Mama2punto0,3024,2195,0,1
incluidods,169,93,0,1
PabloCentenari,319,231,0,1
Comfama,21981,3356,0,1
jlgomez13,482,1951,0,2
pacoduranona,16750,8136,0,2
EnnerEmilio,189,360,0,1
gmialvare,23,101,0,1
21gramos_net,1175,716,0,3
FabianCorredor,3187,3063,1,0
ACOFOP,1665,752,0,1
DianaOrtegaG,1020,514,2,0
dialogosv,1093,477,0,2
Amalia224,708,353,3,2
la_malvavisca,58,615,0,1
amosoriog,108,603,0,2
raq107,463,489,0,1
mov_jupsin,7507,6927,0,1
WILFORD_ROGIL,494,1504,0,1
moussawara1,249,217,0,2
INTABioenergia,2961,125,0,1
GGlobalParis,504,304,1,3
1A_Ingenieros,719,546,1,0
BBVA_Trader,1017,99,0,1
CabeBarral,10,87,0,1
paolaromano60,1467,562,0,1
MariTriniGiner,8920,3006,1,2
isfadup,2,61,1,0
EscarayDayana,18,65,0,1
ASviSItalia,8031,1328,0,3
LeslyTul,168,436,0,1
Maria_Navsy,869,403,0,1
let_va,86,136,0,1
rdiazortega,22,109,0,1
AnaDormouse,273,223,1,0
Jlgurquiza,1906,1179,0,1
Marietacg,760,295,0,1
RU_RBAN,166,506,0,1
redondovazquez,7,73,0,1
cedillos_sv,62,509,0,1
NUTRINACIONcom,117,24,3,0
graciajosa,835,786,1,1
KAZcarrabias,92,119,0,1
ProfeMerida,9151,1692,0,2
EmbEspanaLibano,2327,252,0,2
ProBonomx,671,542,1,0
Cecilia85430264,4,2,0,1
miguelmilan,232,439,0,1
EmbEspTurquia,5099,154,0,1
RSE_Extremadura,2203,1050,0,1
IsaDLen2,37,221,0,1
anasororida,157,675,0,1
TJTrinidad13,1576,4030,0,1
SistemaBiobolsa,1550,182,1,0
Happen_Inn,1328,814,0,1
BabelAyala,503,318,0,1
FabianaCoustau,38,114,0,1
missylolahuetem,10798,3268,2,0
lorenzoamor_ata,16686,1967,0,3
CEARMadrid,959,623,1,0
ramn_bonilla,163,155,0,1
Ori_SaludGlobal,102,158,0,1
ConfecoopLlanos,213,87,1,0
ObservatioPadua,529,1984,0,2
edulunes5,863,754,0,2
JTinaquero,1412,991,1,0
tabernero8,2083,5001,0,1
cruzrojava,777,289,0,1
ariadnelena,41,109,1,0
vane_ventre,507,2285,0,7
siesCubasDLS,274,308,0,2
Erik_AldamaCh,67,76,0,1
Silvia_FM_,842,512,0,1
IlviaRojas,566,999,0,1
karlacastillobr,364,806,0,2
laurapeimar,183,208,1,0
Fabivergara,104,286,0,1
cdugotru,61,148,0,1
OGR_ES,1280,2273,0,1
GSostenibleUSB,293,213,2,0
suma_USC,1718,4960,0,1
csostenibilidad,6994,4116,1,0
CIRDCapacita,910,1461,0,1
Karina_Padilla,3023,1390,0,1
PichusaLuz,40,61,0,2
PepeDamianRS,2452,1906,0,1
laaleginger,159,490,0,1
pforh,1012,1448,1,0
nita_macia,1365,1352,0,3
mujercelta,2640,2921,0,4
ODSTerritorioEc,937,253,8,3
FloraMartinB,436,72,0,1
ajlf88,305,4030,0,2
elisendarealp,207,217,0,1
patmolina,1582,945,0,1
CalebRojasC,893,1842,0,1
JM_Yturralde,1034,798,1,8
cg_aranda,503,727,0,3
JorgeStudium,157,243,0,2
angellavariega,1807,1509,0,1
solmonterosc,15,14,0,1
nahueloddone,3637,1875,5,4
bastidas_loli,155,90,0,1
SeibaIS,605,242,0,2
CarmenRG16,22,59,0,1
CarlosChacha10,33,192,0,1
ONUBIBUV,134,293,0,11
AndreaMendozaO,432,121,1,0
